Run_number: 2613 | Aexp: 0.0344828 | errAexp: 0.131228 | pol_He3: 42.401 | pol_beam: 86.488
Run_number: 2614 | Aexp: 0.259259 | errAexp: 0.18587 | pol_He3: 42.719 | pol_beam: 86.488
Run_number: 2615 | Aexp: -0.0508475 | errAexp: 0.130021 | pol_He3: 43.1829 | pol_beam: 86.488
Run_number: 2616 | Aexp: -0.191489 | errAexp: 0.143166 | pol_He3: 43.1897 | pol_beam: 86.488
Run_number: 2617 | Aexp: 0.0212766 | errAexp: 0.145832 | pol_He3: 43.1973 | pol_beam: 86.488
Run_number: 2618 | Aexp: 0.228916 | errAexp: 0.10685 | pol_He3: 43.2518 | pol_beam: 86.488
Run_number: 2619 | Aexp: 0.285714 | errAexp: 0.147871 | pol_He3: 43.4059 | pol_beam: 86.488
Run_number: 2620 | Aexp: 0.0461538 | errAexp: 0.123903 | pol_He3: 43.5194 | pol_beam: 86.488
Run_number: 2621 | Aexp: 0.0666667 | errAexp: 0.14874 | pol_He3: 43.294 | pol_beam: 86.488
Run_number: 2622 | Aexp: 0.12 | errAexp: 0.140399 | pol_He3: 43.0576 | pol_beam: 86.488
Run_number: 2623 | Aexp: 0.297297 | errAexp: 0.156966 | pol_He3: 42.8987 | pol_beam: 86.488
Run_number: 2624 | Aexp: -0.0545455 | errAexp: 0.134639 | pol_He3: 42.8621 | pol_beam: 86.488
Run_number: 2625 | Aexp: -0.015873 | errAexp: 0.125972 | pol_He3: 42.8298 | pol_beam: 86.488
Run_number: 2626 | Aexp: 0.0877193 | errAexp: 0.131943 | pol_He3: 42.8976 | pol_beam: 86.488
Run_number: 2627 | Aexp: -0.138462 | errAexp: 0.12284 | pol_He3: 42.9623 | pol_beam: 86.488
Run_number: 2628 | Aexp: -0.0454545 | errAexp: 0.1506 | pol_He3: 43.0185 | pol_beam: 86.488
Run_number: 2629 | Aexp: 0.150685 | errAexp: 0.115705 | pol_He3: 43.3137 | pol_beam: 86.488
Run_number: 2630 | Aexp: 0.428571 | errAexp: 0.341494 | pol_He3: 43.3527 | pol_beam: 86.488
Run_number: 2631 | Aexp: 0.130435 | errAexp: 0.119357 | pol_He3: 43.6565 | pol_beam: 86.488
Run_number: 2632 | Aexp: 0.030303 | errAexp: 0.173998 | pol_He3: 43.8516 | pol_beam: 86.488
Run_number: 2633 | Aexp: 0.0714286 | errAexp: 0.133289 | pol_He3: 44.8798 | pol_beam: 86.488
Run_number: 2634 | Aexp: 0 | errAexp: 0.235702 | pol_He3: 45.4866 | pol_beam: 86.488
Run_number: 2635 | Aexp: 0.101124 | errAexp: 0.105456 | pol_He3: 46.3966 | pol_beam: 86.488
Run_number: 2637 | Aexp: 0.301587 | errAexp: 0.120122 | pol_He3: 46.0641 | pol_beam: 86.488
Run_number: 2638 | Aexp: -0.105263 | errAexp: 0.16132 | pol_He3: 45.3616 | pol_beam: 86.488
Run_number: 2646 | Aexp: -0.0689655 | errAexp: 0.130994 | pol_He3: 45.0396 | pol_beam: 86.488
Run_number: 2647 | Aexp: -0.307692 | errAexp: 0.131947 | pol_He3: 44.7415 | pol_beam: 86.488
Run_number: 2648 | Aexp: -0.254902 | errAexp: 0.135402 | pol_He3: 44.4434 | pol_beam: 86.488
Run_number: 2649 | Aexp: 0 | errAexp: 0.267261 | pol_He3: 44.4138 | pol_beam: 86.488
Run_number: 2650 | Aexp: 0.169811 | errAexp: 0.135366 | pol_He3: 45.1022 | pol_beam: 86.488
Run_number: 2651 | Aexp: 0.0333333 | errAexp: 0.129028 | pol_He3: 45.3573 | pol_beam: 86.488
Run_number: 2659 | Aexp: 0.0204082 | errAexp: 0.142827 | pol_He3: 45.25 | pol_beam: 86.488
Run_number: 2660 | Aexp: -0.0204082 | errAexp: 0.142827 | pol_He3: 45.1176 | pol_beam: 86.488
Run_number: 2661 | Aexp: 0.0526316 | errAexp: 0.13227 | pol_He3: 44.7695 | pol_beam: 86.488
Run_number: 2662 | Aexp: -0.333333 | errAexp: 0.19245 | pol_He3: 44.4638 | pol_beam: 86.488
Run_number: 2667 | Aexp: 0.0985915 | errAexp: 0.1181 | pol_He3: 44.1845 | pol_beam: 86.488
Run_number: 2668 | Aexp: -0.0689655 | errAexp: 0.130994 | pol_He3: 44.3041 | pol_beam: 86.488
Run_number: 2669 | Aexp: 0.0689655 | errAexp: 0.130994 | pol_He3: 44.4219 | pol_beam: 86.488
Run_number: 2670 | Aexp: 0.32 | errAexp: 0.133985 | pol_He3: 44.5321 | pol_beam: 86.488
Run_number: 2671 | Aexp: 0.25 | errAexp: 0.129387 | pol_He3: 44.3387 | pol_beam: 86.488
Run_number: 2674 | Aexp: 0.118644 | errAexp: 0.129269 | pol_He3: 44.1358 | pol_beam: 86.488
Run_number: 2676 | Aexp: -0.285714 | errAexp: 0.12806 | pol_He3: 44.3184 | pol_beam: 86.488
Run_number: 2677 | Aexp: -0.0714286 | errAexp: 0.133289 | pol_He3: 44.4927 | pol_beam: 86.488
Run_number: 2678 | Aexp: 0 | errAexp: 0.5 | pol_He3: 44.5152 | pol_beam: 86.488
Run_number: 2679 | Aexp: 0.220339 | errAexp: 0.126989 | pol_He3: 44.6662 | pol_beam: 86.488
Run_number: 2680 | Aexp: 0.2 | errAexp: 0.138564 | pol_He3: 44.7718 | pol_beam: 86.488
Run_number: 2681 | Aexp: -0.115385 | errAexp: 0.137749 | pol_He3: 44.8802 | pol_beam: 86.488
Run_number: 2683 | Aexp: 0.222222 | errAexp: 0.162499 | pol_He3: 44.928 | pol_beam: 86.488
Run_number: 2684 | Aexp: 0.142857 | errAexp: 0.141392 | pol_He3: 44.8985 | pol_beam: 86.488
Run_number: 2685 | Aexp: 0.166667 | errAexp: 0.164336 | pol_He3: 44.8598 | pol_beam: 86.488
Run_number: 2687 | Aexp: 0.0819672 | errAexp: 0.127606 | pol_He3: 44.8212 | pol_beam: 86.488
Run_number: 2688 | Aexp: 0.272727 | errAexp: 0.145041 | pol_He3: 44.7505 | pol_beam: 86.488
Run_number: 2689 | Aexp: -0.037037 | errAexp: 0.135989 | pol_He3: 44.6766 | pol_beam: 86.488
Run_number: 2690 | Aexp: -0.333333 | errAexp: 0.164122 | pol_He3: 44.6191 | pol_beam: 86.488
Run_number: 2691 | Aexp: -0.0232558 | errAexp: 0.152457 | pol_He3: 44.5631 | pol_beam: 86.488
Run_number: 2692 | Aexp: -0.0344828 | errAexp: 0.131228 | pol_He3: 44.5035 | pol_beam: 86.488
Run_number: 2693 | Aexp: -0.0810811 | errAexp: 0.163858 | pol_He3: 44.4839 | pol_beam: 86.488
Run_number: 2694 | Aexp: -0.238095 | errAexp: 0.122365 | pol_He3: 44.7427 | pol_beam: 86.488
Run_number: 2695 | Aexp: 0.104478 | errAexp: 0.121501 | pol_He3: 45.0099 | pol_beam: 86.488
Run_number: 2696 | Aexp: -0.142857 | errAexp: 0.152721 | pol_He3: 45.2001 | pol_beam: 86.488
Run_number: 2697 | Aexp: 0.115385 | errAexp: 0.137749 | pol_He3: 45.3996 | pol_beam: 86.488
Run_number: 2698 | Aexp: 0.285714 | errAexp: 0.12806 | pol_He3: 45.5991 | pol_beam: 86.488
Run_number: 2699 | Aexp: 0.181818 | errAexp: 0.12104 | pol_He3: 45.8049 | pol_beam: 86.488
Run_number: 2700 | Aexp: 0.184211 | errAexp: 0.112745 | pol_He3: 45.9927 | pol_beam: 86.488
Run_number: 2701 | Aexp: 0.134328 | errAexp: 0.121062 | pol_He3: 46.1959 | pol_beam: 86.488
Run_number: 2702 | Aexp: 0.15942 | errAexp: 0.118846 | pol_He3: 46.3844 | pol_beam: 86.488
Run_number: 2703 | Aexp: 0.037037 | errAexp: 0.135989 | pol_He3: 46.594 | pol_beam: 86.488
Run_number: 2704 | Aexp: 0.0967742 | errAexp: 0.126404 | pol_He3: 46.8035 | pol_beam: 86.488
Run_number: 2705 | Aexp: 0.4 | errAexp: 0.144914 | pol_He3: 46.9915 | pol_beam: 86.488
Run_number: 2706 | Aexp: 0.0410959 | errAexp: 0.116942 | pol_He3: 47.0071 | pol_beam: 86.488
Run_number: 2707 | Aexp: 0 | errAexp: 0.158114 | pol_He3: 47.0245 | pol_beam: 86.488
Run_number: 2709 | Aexp: -0.375 | errAexp: 0.163876 | pol_He3: 47.0253 | pol_beam: 86.488
Run_number: 2710 | Aexp: -0.2 | errAexp: 0.309839 | pol_He3: 46.9764 | pol_beam: 86.488
Run_number: 2711 | Aexp: -0.0526316 | errAexp: 0.114549 | pol_He3: 46.8213 | pol_beam: 86.488
Run_number: 2712 | Aexp: 0.122807 | errAexp: 0.131451 | pol_He3: 46.6746 | pol_beam: 86.488
Run_number: 2713 | Aexp: 0.272727 | errAexp: 0.290081 | pol_He3: 46.6413 | pol_beam: 86.488
Run_number: 2714 | Aexp: -0.103448 | errAexp: 0.130602 | pol_He3: 46.7013 | pol_beam: 86.488
Run_number: 2715 | Aexp: 0.255814 | errAexp: 0.147424 | pol_He3: 46.7566 | pol_beam: 86.488
Run_number: 2716 | Aexp: 0.107143 | errAexp: 0.132861 | pol_He3: 46.8149 | pol_beam: 86.488
Run_number: 2717 | Aexp: 0.241379 | errAexp: 0.127424 | pol_He3: 46.8182 | pol_beam: 86.488
