Run_number: 2628 | Aexp: -nan | errAexp: -nan | pol_He3: 43.3397 | pol_beam: 86.488
Run_number: 2630 | Aexp: -nan | errAexp: -nan | pol_He3: 43.7824 | pol_beam: 86.488
Run_number: 2632 | Aexp: -1 | errAexp: 0 | pol_He3: 47.4418 | pol_beam: 86.488
Run_number: 2635 | Aexp: -nan | errAexp: -nan | pol_He3: 46.3966 | pol_beam: 86.488
Run_number: 2637 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: 46.0641 | pol_beam: 86.488
Run_number: 2638 | Aexp: -0.6 | errAexp: 0.357771 | pol_He3: 45.3616 | pol_beam: 86.488
Run_number: 2646 | Aexp: -0.174603 | errAexp: 0.124053 | pol_He3: 45.0396 | pol_beam: 86.488
Run_number: 2647 | Aexp: 0.166667 | errAexp: 0.201269 | pol_He3: 44.7415 | pol_beam: 86.488
Run_number: 2648 | Aexp: 0 | errAexp: 0.707107 | pol_He3: 44.4434 | pol_beam: 86.488
Run_number: 2649 | Aexp: -1 | errAexp: 0 | pol_He3: 44.4138 | pol_beam: 86.488
Run_number: 2650 | Aexp: 0.130435 | errAexp: 0.206733 | pol_He3: 45.1022 | pol_beam: 86.488
Run_number: 2651 | Aexp: -0.0344828 | errAexp: 0.131228 | pol_He3: 45.3573 | pol_beam: 86.488
Run_number: 2659 | Aexp: -0.122807 | errAexp: 0.131451 | pol_He3: 45.25 | pol_beam: 86.488
Run_number: 2660 | Aexp: -1 | errAexp: 0 | pol_He3: 45.1176 | pol_beam: 86.488
Run_number: 2661 | Aexp: 0.111111 | errAexp: 0.117121 | pol_He3: 44.7695 | pol_beam: 86.488
Run_number: 2662 | Aexp: -0.36 | errAexp: 0.18659 | pol_He3: 44.4638 | pol_beam: 86.488
Run_number: 2667 | Aexp: 0.0869565 | errAexp: 0.103862 | pol_He3: 44.1845 | pol_beam: 86.488
Run_number: 2668 | Aexp: -0.0810811 | errAexp: 0.163858 | pol_He3: 44.3041 | pol_beam: 86.488
Run_number: 2669 | Aexp: 0.246377 | errAexp: 0.116675 | pol_He3: 44.4219 | pol_beam: 86.488
Run_number: 2670 | Aexp: -0.0512821 | errAexp: 0.113079 | pol_He3: 44.5321 | pol_beam: 86.488
Run_number: 2671 | Aexp: 0.0169492 | errAexp: 0.13017 | pol_He3: 44.3387 | pol_beam: 86.488
Run_number: 2674 | Aexp: 0.125 | errAexp: 0.143205 | pol_He3: 44.1358 | pol_beam: 86.488
Run_number: 2676 | Aexp: -0.0461538 | errAexp: 0.123903 | pol_He3: 44.3184 | pol_beam: 86.488
Run_number: 2677 | Aexp: 0.181818 | errAexp: 0.209647 | pol_He3: 44.4927 | pol_beam: 86.488
Run_number: 2678 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: 44.5152 | pol_beam: 86.488
Run_number: 2679 | Aexp: 0.230769 | errAexp: 0.110172 | pol_He3: 44.6662 | pol_beam: 86.488
Run_number: 2680 | Aexp: 0.0555556 | errAexp: 0.117669 | pol_He3: 44.7718 | pol_beam: 86.488
Run_number: 2681 | Aexp: -0.0285714 | errAexp: 0.119474 | pol_He3: 44.8802 | pol_beam: 86.488
Run_number: 2683 | Aexp: 0.333333 | errAexp: 0.15097 | pol_He3: 44.928 | pol_beam: 86.488
Run_number: 2684 | Aexp: 0.259259 | errAexp: 0.13143 | pol_He3: 44.8985 | pol_beam: 86.488
Run_number: 2685 | Aexp: -0.333333 | errAexp: 0.3849 | pol_He3: 44.8598 | pol_beam: 86.488
