Run_number: 2613 | Aexp: 0.0217391 | errAexp: 0.104233 | pol_He3: 42.401 | pol_beam: 86.488
Run_number: 2614 | Aexp: 0.26087 | errAexp: 0.142337 | pol_He3: 42.719 | pol_beam: 86.488
Run_number: 2615 | Aexp: -0.0309278 | errAexp: 0.101486 | pol_He3: 43.1829 | pol_beam: 86.488
Run_number: 2616 | Aexp: -0.0967742 | errAexp: 0.126404 | pol_He3: 43.1897 | pol_beam: 86.488
Run_number: 2617 | Aexp: -0.0222222 | errAexp: 0.105383 | pol_He3: 43.1973 | pol_beam: 86.488
Run_number: 2618 | Aexp: 0.154472 | errAexp: 0.0890847 | pol_He3: 43.2518 | pol_beam: 86.488
Run_number: 2619 | Aexp: 0.2 | errAexp: 0.113137 | pol_He3: 43.4059 | pol_beam: 86.488
Run_number: 2620 | Aexp: 0.0625 | errAexp: 0.101863 | pol_He3: 43.5194 | pol_beam: 86.488
Run_number: 2621 | Aexp: 0 | errAexp: 0.114708 | pol_He3: 43.294 | pol_beam: 86.488
Run_number: 2622 | Aexp: 0.116883 | errAexp: 0.113179 | pol_He3: 43.0576 | pol_beam: 86.488
Run_number: 2623 | Aexp: 0.32 | errAexp: 0.133985 | pol_He3: 42.8987 | pol_beam: 86.488
Run_number: 2624 | Aexp: 0.0697674 | errAexp: 0.10757 | pol_He3: 42.8621 | pol_beam: 86.488
Run_number: 2625 | Aexp: 0.010101 | errAexp: 0.100499 | pol_He3: 42.8298 | pol_beam: 86.488
Run_number: 2626 | Aexp: 0.23913 | errAexp: 0.101232 | pol_He3: 42.8976 | pol_beam: 86.488
Run_number: 2627 | Aexp: -0.142857 | errAexp: 0.0999792 | pol_He3: 42.9623 | pol_beam: 86.488
Run_number: 2628 | Aexp: -0.0985915 | errAexp: 0.1181 | pol_He3: 43.0185 | pol_beam: 86.488
Run_number: 2629 | Aexp: 0.0862069 | errAexp: 0.092502 | pol_He3: 43.3137 | pol_beam: 86.488
